,hour_of_day,hour_of_day_bins,is_weekend,city,merchant_category,payment_method,account_age_years,time_since_last_txn_hrs,time_since_last_txn_hrs_bins,failed_attempts,is_international,pin_changed_recently,is_night_transaction,is_fraud
35011,22,75%-max,0,São Paulo,Fuel,Crypto,3.3,7.17,25%-50%,3,0,0,1,0
35012,15,50%-75%,0,London,Electronics,Credit Card,1.0,4.77,25%-50%,0,0,0,0,0
35013,3,min-25%,1,Berlin,ATM Withdrawal,Credit Card,4.3,21.95,75%-max,0,0,0,1,0
35014,6,min-25%,0,Melbourne,Grocery,Mobile Payment,0.5,0.41,min-25%,0,0,0,1,0
35015,11,25%-50%,0,Toronto,Entertainment,Bank Transfer,4.7,16.76,75%-max,3,1,0,0,0
35016,16,50%-75%,0,New York,Online Shopping,Credit Card,5.6,0.5,min-25%,0,0,0,0,0
35017,21,75%-max,0,London,Utilities,Debit Card,15.5,2.53,min-25%,0,0,1,0,0
35018,17,50%-75%,1,Mexico City,Restaurant,Debit Card,4.3,21.85,75%-max,1,0,1,0,0
35019,7,25%-50%,1,Paris,Healthcare,Credit Card,24.5,13.71,50%-75%,0,0,0,0,0
35020,12,25%-50%,1,Sydney,Entertainment,Credit Card,3.2,18.21,75%-max,0,0,0,0,0
35021,7,25%-50%,1,Manchester,Restaurant,Credit Card,3.6,1.15,min-25%,0,0,0,0,0
35022,22,75%-max,0,Guadalajara,Clothing,Crypto,6.8,3.98,25%-50%,0,0,0,1,0
35023,23,75%-max,1,Manchester,Education,Crypto,5.8,2.07,min-25%,0,0,0,1,0
35024,15,50%-75%,0,Vancouver,Gaming,Credit Card,1.5,8.0,25%-50%,0,0,0,0,0
35025,18,50%-75%,1,Berlin,Jewelry,Debit Card,1.4,0.44,min-25%,0,0,0,0,0
35026,10,25%-50%,0,Toronto,Jewelry,Debit Card,5.5,16.98,75%-max,0,0,0,0,0
35027,10,25%-50%,0,São Paulo,Crypto Exchange,Credit Card,1.2,19.81,75%-max,0,0,0,0,0
35028,19,75%-max,0,Lyon,Travel,Credit Card,0.8,4.96,25%-50%,0,0,0,0,0
35029,12,25%-50%,0,São Paulo,Clothing,Debit Card,6.9,35.27,75%-max,0,0,0,0,0
35030,16,50%-75%,0,London,ATM Withdrawal,Crypto,7.7,9.36,50%-75%,0,0,0,0,0
35031,13,50%-75%,0,Tokyo,Restaurant,Credit Card,7.0,16.58,75%-max,0,0,0,0,0
35032,22,75%-max,0,Delhi,Crypto Exchange,Debit Card,4.9,3.89,25%-50%,0,0,0,1,1
35033,17,50%-75%,1,London,ATM Withdrawal,Credit Card,3.0,2.32,min-25%,0,0,0,0,0
35034,6,min-25%,0,Mumbai,ATM Withdrawal,Crypto,3.5,16.24,50%-75%,0,0,0,1,0
35035,14,50%-75%,0,London,Healthcare,Crypto,1.5,1.97,min-25%,0,0,0,0,0
35036,23,75%-max,0,Manchester,Fuel,Crypto,3.2,0.55,min-25%,1,0,0,1,0
35037,17,50%-75%,1,Los Angeles,Electronics,Mobile Payment,7.7,44.56,75%-max,0,0,0,0,0
35038,17,50%-75%,1,New York,Jewelry,Credit Card,0.5,29.61,75%-max,0,0,0,0,0
35039,11,25%-50%,0,Guadalajara,Gaming,Mobile Payment,8.1,9.99,50%-75%,1,0,0,0,0
35040,8,25%-50%,0,Los Angeles,Grocery,Crypto,2.8,6.04,25%-50%,0,0,0,0,0
35041,10,25%-50%,0,Los Angeles,Gaming,Bank Transfer,0.1,23.65,75%-max,0,0,0,0,0
35042,10,25%-50%,0,Osaka,Electronics,Debit Card,5.8,62.74,75%-max,0,0,0,0,0
35043,18,50%-75%,1,Mumbai,Jewelry,Credit Card,2.9,11.31,50%-75%,0,0,1,0,0
35044,16,50%-75%,0,Lyon,Online Shopping,Credit Card,11.0,6.61,25%-50%,0,0,0,0,0
35045,7,25%-50%,0,Delhi,Entertainment,Debit Card,4.2,1.99,min-25%,0,1,0,0,0
35046,7,25%-50%,0,Munich,Gaming,Credit Card,2.7,0.86,min-25%,1,0,0,0,0
35047,11,25%-50%,0,Osaka,Restaurant,Credit Card,8.0,0.16,min-25%,0,0,0,0,0
35048,16,50%-75%,0,Paris,Education,Credit Card,2.0,1.52,min-25%,0,0,0,0,0
35049,3,min-25%,0,London,Healthcare,Mobile Payment,2.1,6.41,25%-50%,0,0,0,1,0
35050,21,75%-max,1,New York,ATM Withdrawal,Credit Card,6.2,10.21,50%-75%,0,1,0,0,0
35051,20,75%-max,1,Mexico City,Utilities,Mobile Payment,9.5,6.66,25%-50%,0,0,0,0,0
35052,12,25%-50%,0,Lyon,Jewelry,Mobile Payment,0.7,2.84,min-25%,3,0,0,0,0
35053,3,min-25%,0,Tokyo,Clothing,Debit Card,1.8,1.68,min-25%,0,0,0,1,0
35054,10,25%-50%,0,Melbourne,Entertainment,Cheque,7.3,0.66,min-25%,0,0,0,0,0
35055,14,50%-75%,0,Mumbai,Healthcare,Bank Transfer,10.0,10.98,50%-75%,0,0,0,0,0
35056,3,min-25%,1,Toronto,Travel,Debit Card,1.3,3.35,min-25%,2,0,0,1,1
35057,6,min-25%,0,Manchester,Education,Debit Card,3.3,1.72,min-25%,0,0,0,1,0
35058,5,min-25%,0,Munich,Entertainment,Credit Card,0.2,5.5,25%-50%,0,0,1,1,0
35059,5,min-25%,0,Manchester,Clothing,Debit Card,1.6,7.72,25%-50%,0,0,0,1,0
35060,16,50%-75%,1,New York,Restaurant,Credit Card,8.0,2.22,min-25%,0,0,0,0,0
35061,17,50%-75%,0,Mexico City,Fuel,Bank Transfer,7.3,3.86,25%-50%,0,0,0,0,0
35062,9,25%-50%,0,Delhi,Restaurant,Crypto,4.0,12.36,50%-75%,0,0,0,0,0
35063,11,25%-50%,1,Munich,Gaming,Debit Card,1.0,39.88,75%-max,0,0,0,0,0
35064,22,75%-max,0,Mumbai,Clothing,Mobile Payment,0.6,0.87,min-25%,0,0,0,1,0
35065,17,50%-75%,0,Osaka,Crypto Exchange,Debit Card,8.3,28.54,75%-max,0,0,0,0,1
35066,6,min-25%,0,New York,Electronics,Crypto,0.7,8.0,25%-50%,0,0,0,1,0
35067,4,min-25%,0,Munich,Jewelry,Bank Transfer,2.4,11.47,50%-75%,2,0,0,1,0
35068,14,50%-75%,0,Guadalajara,Jewelry,Credit Card,2.4,6.26,25%-50%,0,0,0,0,0
35069,9,25%-50%,0,Mumbai,Travel,Debit Card,2.0,3.08,min-25%,2,0,0,0,1
35070,5,min-25%,0,Melbourne,Crypto Exchange,Debit Card,0.8,12.27,50%-75%,0,0,0,1,1
35071,20,75%-max,0,Vancouver,Restaurant,Bank Transfer,5.3,39.57,75%-max,5,0,0,0,0
35072,8,25%-50%,0,Mexico City,ATM Withdrawal,Debit Card,2.7,23.88,75%-max,0,0,0,0,0
35073,11,25%-50%,1,Vancouver,Crypto Exchange,Credit Card,23.1,8.46,50%-75%,0,0,0,0,0
35074,7,25%-50%,0,New York,Utilities,Debit Card,0.3,7.84,25%-50%,0,0,0,0,0
35075,10,25%-50%,0,Los Angeles,ATM Withdrawal,Crypto,2.4,29.57,75%-max,0,0,0,0,0
35076,1,min-25%,0,Rio,ATM Withdrawal,Credit Card,5.8,11.28,50%-75%,0,0,1,1,0
35077,8,25%-50%,1,New York,Grocery,Debit Card,5.1,5.25,25%-50%,0,0,0,0,0
35078,6,min-25%,1,Berlin,Fuel,Bank Transfer,0.4,1.08,min-25%,1,0,1,1,0
35079,23,75%-max,0,Tokyo,Online Shopping,Mobile Payment,0.7,0.37,min-25%,0,0,0,1,0
35080,21,75%-max,0,Vancouver,Clothing,Mobile Payment,5.7,61.74,75%-max,0,0,0,0,0
35081,17,50%-75%,0,São Paulo,Travel,Credit Card,0.8,0.53,min-25%,0,0,0,0,0
35082,14,50%-75%,0,Los Angeles,Restaurant,Credit Card,1.3,11.57,50%-75%,0,0,0,0,0
35083,13,50%-75%,1,Toronto,Electronics,Credit Card,0.1,19.52,75%-max,0,0,0,0,0
35084,0,,0,Berlin,Gaming,Cheque,4.0,9.16,50%-75%,0,0,0,1,0
35085,14,50%-75%,0,São Paulo,Grocery,Bank Transfer,3.6,7.57,25%-50%,0,0,0,0,0
35086,9,25%-50%,0,Tokyo,Grocery,Credit Card,4.2,16.48,50%-75%,1,0,0,0,0
35087,3,min-25%,0,Mumbai,Entertainment,Cheque,3.4,4.38,25%-50%,0,0,0,1,0
35088,7,25%-50%,1,Guadalajara,Restaurant,Debit Card,10.0,21.88,75%-max,0,0,0,0,0
35089,7,25%-50%,0,Mumbai,Crypto Exchange,Debit Card,8.1,0.33,min-25%,0,0,0,0,0
35090,0,,0,Sydney,ATM Withdrawal,Mobile Payment,1.3,5.45,25%-50%,0,0,0,1,0
35091,5,min-25%,1,Rio,Utilities,Credit Card,1.6,1.82,min-25%,0,1,0,1,0
35092,11,25%-50%,0,New York,Travel,Credit Card,18.7,17.69,75%-max,1,0,0,0,0
35093,15,50%-75%,0,Paris,Utilities,Debit Card,3.1,13.1,50%-75%,0,0,0,0,0
35094,7,25%-50%,0,Munich,ATM Withdrawal,Debit Card,1.3,5.41,25%-50%,0,0,0,0,0
35095,20,75%-max,1,Manchester,Grocery,Debit Card,4.1,2.05,min-25%,0,0,0,0,0
35096,13,50%-75%,1,Toronto,Gaming,Debit Card,19.4,43.27,75%-max,0,0,0,0,0
35097,15,50%-75%,1,Lyon,Utilities,Credit Card,0.5,19.59,75%-max,0,1,0,0,0
35098,2,min-25%,0,São Paulo,Grocery,Bank Transfer,0.1,11.38,50%-75%,0,0,0,1,0
35099,5,min-25%,0,Mumbai,Online Shopping,Mobile Payment,1.3,18.02,75%-max,0,0,0,1,0
35100,6,min-25%,0,Lyon,Education,Credit Card,3.2,12.22,50%-75%,0,0,0,1,0
35101,13,50%-75%,0,Guadalajara,Entertainment,Credit Card,7.5,28.95,75%-max,0,0,1,0,0
35102,4,min-25%,0,Vancouver,Restaurant,Debit Card,6.2,5.48,25%-50%,0,0,0,1,0
35103,1,min-25%,0,Lyon,Healthcare,Credit Card,3.5,23.81,75%-max,0,0,0,1,0
35104,23,75%-max,0,Guadalajara,Healthcare,Debit Card,4.1,3.48,25%-50%,0,0,0,1,0
35105,8,25%-50%,0,Manchester,Crypto Exchange,Credit Card,2.7,1.11,min-25%,0,0,0,0,0
35106,17,50%-75%,1,Los Angeles,Education,Credit Card,6.4,12.17,50%-75%,4,0,0,0,0
35107,13,50%-75%,0,Sydney,Electronics,Credit Card,3.0,4.04,25%-50%,0,0,0,0,0
35108,2,min-25%,0,New York,ATM Withdrawal,Bank Transfer,7.2,15.09,50%-75%,0,0,0,1,0
35109,19,75%-max,0,Tokyo,Entertainment,Credit Card,0.1,3.88,25%-50%,0,0,0,0,0
35110,9,25%-50%,0,Manchester,Clothing,Bank Transfer,3.1,11.31,50%-75%,0,0,0,0,0
35111,4,min-25%,0,London,Grocery,Mobile Payment,19.5,6.14,25%-50%,2,0,0,1,0
35112,20,75%-max,0,Vancouver,Jewelry,Bank Transfer,1.1,10.04,50%-75%,0,1,0,0,0
35113,22,75%-max,1,Osaka,Education,Debit Card,1.1,3.06,min-25%,5,0,0,1,0
35114,12,25%-50%,0,Lyon,Online Shopping,Debit Card,1.1,12.75,50%-75%,1,0,0,0,0
35115,10,25%-50%,1,Tokyo,Gaming,Credit Card,13.4,21.77,75%-max,0,0,1,0,0
35116,17,50%-75%,0,Guadalajara,Jewelry,Debit Card,1.1,17.27,75%-max,0,0,0,0,0
35117,0,,0,Delhi,Electronics,Credit Card,5.7,4.7,25%-50%,0,0,0,1,0
35118,2,min-25%,0,Melbourne,Grocery,Credit Card,7.9,12.51,50%-75%,0,0,0,1,0
35119,14,50%-75%,0,Sydney,Healthcare,Debit Card,0.1,23.43,75%-max,0,1,1,0,0
35120,21,75%-max,0,Mumbai,Jewelry,Credit Card,0.6,20.1,75%-max,0,0,0,0,0
35121,3,min-25%,0,New York,Clothing,Debit Card,5.6,8.02,25%-50%,0,1,0,1,0
35122,20,75%-max,0,Sydney,Education,Credit Card,3.2,10.91,50%-75%,0,1,0,0,0
35123,9,25%-50%,1,Paris,Entertainment,Debit Card,0.2,6.12,25%-50%,0,0,0,0,0
35124,11,25%-50%,1,Toronto,Restaurant,Debit Card,1.9,54.23,75%-max,0,0,0,0,0
35125,8,25%-50%,0,Los Angeles,Education,Credit Card,1.4,3.81,25%-50%,0,1,0,0,0
35126,2,min-25%,0,Sydney,Gaming,Debit Card,8.2,38.18,75%-max,0,1,0,1,0
35127,23,75%-max,0,Melbourne,ATM Withdrawal,Debit Card,12.2,2.24,min-25%,0,0,0,1,0
35128,9,25%-50%,0,Los Angeles,ATM Withdrawal,Credit Card,10.7,1.21,min-25%,0,0,0,0,0
35129,4,min-25%,0,Munich,Travel,Credit Card,4.2,25.32,75%-max,2,0,0,1,0
35130,12,25%-50%,1,Paris,Online Shopping,Credit Card,3.8,1.06,min-25%,0,0,0,0,0
35131,8,25%-50%,0,New York,Gaming,Mobile Payment,2.7,32.26,75%-max,0,0,0,0,0
35132,16,50%-75%,0,Sydney,Entertainment,Bank Transfer,7.3,12.98,50%-75%,0,1,0,0,0
35133,4,min-25%,0,Manchester,Gaming,Debit Card,4.1,7.89,25%-50%,0,0,0,1,0
35134,18,50%-75%,0,Mumbai,Travel,Credit Card,7.3,2.0,min-25%,0,0,0,0,0
35135,11,25%-50%,1,Tokyo,Entertainment,Credit Card,16.1,3.18,min-25%,0,1,0,0,0
35136,3,min-25%,1,Rio,Online Shopping,Crypto,0.8,2.58,min-25%,0,0,0,1,0
35137,0,,0,Sydney,Healthcare,Credit Card,0.8,16.98,75%-max,5,0,0,1,0
35138,1,min-25%,0,Osaka,Utilities,Bank Transfer,4.8,12.25,50%-75%,0,0,0,1,0
35139,2,min-25%,0,Berlin,Utilities,Debit Card,2.5,8.7,50%-75%,0,0,0,1,0
35140,1,min-25%,0,Los Angeles,Entertainment,Credit Card,15.8,10.08,50%-75%,0,0,0,1,0
35141,19,75%-max,0,London,Fuel,Debit Card,5.7,18.61,75%-max,0,0,0,0,0
35142,16,50%-75%,1,Los Angeles,Electronics,Debit Card,3.9,11.2,50%-75%,0,0,0,0,0
35143,15,50%-75%,0,Mexico City,Jewelry,Credit Card,2.0,3.7,25%-50%,0,0,0,0,0
35144,22,75%-max,1,Berlin,Fuel,Debit Card,0.3,1.83,min-25%,0,0,0,1,0
35145,21,75%-max,0,Mumbai,Online Shopping,Bank Transfer,7.4,1.05,min-25%,0,1,0,0,0
35146,19,75%-max,1,Tokyo,Entertainment,Credit Card,6.1,31.89,75%-max,0,0,0,0,0
35147,1,min-25%,0,New York,Online Shopping,Debit Card,1.5,18.17,75%-max,2,0,0,1,0
35148,2,min-25%,0,Sydney,Electronics,Credit Card,16.9,11.65,50%-75%,0,1,0,1,0
35149,4,min-25%,1,Toronto,Fuel,Credit Card,6.4,2.57,min-25%,2,0,0,1,0
35150,3,min-25%,0,Paris,Gaming,Credit Card,1.4,15.93,50%-75%,1,1,0,1,0
35151,16,50%-75%,1,Tokyo,Clothing,Credit Card,6.6,46.66,75%-max,0,0,0,0,0
35152,3,min-25%,1,Lyon,Healthcare,Mobile Payment,0.1,21.49,75%-max,0,0,0,1,0
35153,18,50%-75%,0,Munich,Restaurant,Crypto,1.8,26.81,75%-max,0,0,0,0,0
35154,16,50%-75%,0,Berlin,Utilities,Bank Transfer,5.7,4.74,25%-50%,1,0,0,0,0
35155,1,min-25%,0,Munich,Electronics,Cheque,25.9,12.22,50%-75%,2,0,0,1,0
35156,23,75%-max,0,Sydney,Entertainment,Bank Transfer,6.5,0.54,min-25%,0,0,0,1,0
35157,18,50%-75%,0,Mumbai,Jewelry,Credit Card,1.7,1.3,min-25%,0,0,0,0,0
35158,16,50%-75%,1,Tokyo,Crypto Exchange,Crypto,1.2,14.03,50%-75%,2,1,0,0,0
35159,11,25%-50%,0,Mexico City,Gaming,Cheque,4.8,2.08,min-25%,1,0,0,0,0
35160,2,min-25%,0,Los Angeles,Grocery,Debit Card,2.5,13.73,50%-75%,1,0,0,1,0
35161,10,25%-50%,0,Toronto,Healthcare,Cheque,1.3,5.75,25%-50%,0,1,0,0,0
35162,20,75%-max,1,Sydney,Fuel,Debit Card,2.6,11.93,50%-75%,0,0,0,0,0
35163,12,25%-50%,1,Mumbai,Entertainment,Mobile Payment,15.3,16.43,50%-75%,0,0,0,0,0
35164,7,25%-50%,1,Guadalajara,Fuel,Cheque,0.9,7.69,25%-50%,0,0,0,0,0
35165,4,min-25%,0,Guadalajara,Clothing,Credit Card,0.1,26.51,75%-max,0,0,0,1,1
35166,11,25%-50%,0,Toronto,Utilities,Credit Card,4.9,8.9,50%-75%,0,0,0,0,0
35167,17,50%-75%,0,New York,Healthcare,Credit Card,3.2,18.36,75%-max,0,1,0,0,0
35168,6,min-25%,1,London,Electronics,Bank Transfer,1.4,3.77,25%-50%,0,0,0,1,0
35169,12,25%-50%,0,Munich,Healthcare,Credit Card,6.0,10.02,50%-75%,0,0,0,0,0
35170,6,min-25%,0,Rio,Healthcare,Credit Card,1.5,0.95,min-25%,3,0,0,1,0
35171,1,min-25%,0,Rio,Entertainment,Credit Card,0.7,32.76,75%-max,0,1,1,1,0
35172,7,25%-50%,0,London,Utilities,Crypto,3.1,46.68,75%-max,0,0,0,0,0
35173,12,25%-50%,1,Melbourne,Utilities,Debit Card,13.4,0.13,min-25%,0,1,0,0,0
35174,17,50%-75%,1,Mexico City,Restaurant,Credit Card,0.6,3.61,25%-50%,0,0,0,0,0
35175,11,25%-50%,0,Vancouver,Gaming,Debit Card,0.3,28.95,75%-max,0,0,0,0,0
35176,20,75%-max,0,Berlin,ATM Withdrawal,Debit Card,0.4,17.77,75%-max,3,0,0,0,0
35177,21,75%-max,0,Guadalajara,Healthcare,Credit Card,8.0,17.05,75%-max,0,0,0,0,0
35178,20,75%-max,1,Delhi,Online Shopping,Mobile Payment,2.5,22.18,75%-max,0,1,0,0,0
35179,21,75%-max,1,Sydney,ATM Withdrawal,Debit Card,0.8,1.29,min-25%,1,0,1,0,0
35180,21,75%-max,0,Delhi,Crypto Exchange,Debit Card,9.6,10.12,50%-75%,0,0,0,0,0
35181,8,25%-50%,1,Mexico City,Electronics,Debit Card,7.9,20.94,75%-max,4,0,0,0,0
35182,15,50%-75%,0,São Paulo,ATM Withdrawal,Debit Card,0.3,25.52,75%-max,0,0,0,0,0
35183,10,25%-50%,0,São Paulo,Clothing,Debit Card,3.2,2.18,min-25%,0,0,0,0,0
35184,19,75%-max,0,Tokyo,Education,Credit Card,13.6,2.36,min-25%,0,0,0,0,0
35185,3,min-25%,1,Rio,Grocery,Debit Card,1.0,10.04,50%-75%,0,0,0,1,0
35186,21,75%-max,0,London,Jewelry,Credit Card,17.4,2.96,min-25%,2,0,0,0,0
35187,4,min-25%,0,Toronto,Gaming,Debit Card,2.4,5.66,25%-50%,0,0,0,1,0
35188,15,50%-75%,0,Osaka,Healthcare,Crypto,1.3,24.91,75%-max,0,0,0,0,0
35189,21,75%-max,0,Melbourne,Grocery,Debit Card,1.7,11.5,50%-75%,1,0,0,0,0
35190,19,75%-max,0,São Paulo,Utilities,Bank Transfer,10.2,5.05,25%-50%,1,0,0,0,0
35191,20,75%-max,0,Munich,Travel,Bank Transfer,0.5,53.34,75%-max,0,1,0,0,0
35192,8,25%-50%,0,Lyon,Utilities,Debit Card,0.6,7.23,25%-50%,0,0,0,0,0
35193,18,50%-75%,0,Munich,Travel,Mobile Payment,0.9,3.35,min-25%,2,0,0,0,0
35194,7,25%-50%,0,Lyon,Restaurant,Debit Card,11.9,12.92,50%-75%,2,0,0,0,0
35195,12,25%-50%,0,Osaka,Restaurant,Debit Card,0.6,17.32,75%-max,0,0,0,0,0
35196,21,75%-max,0,Manchester,Entertainment,Debit Card,1.3,29.59,75%-max,0,0,0,0,0
35197,18,50%-75%,0,Manchester,Healthcare,Credit Card,0.7,6.18,25%-50%,0,0,0,0,0
35198,10,25%-50%,0,Sydney,Education,Credit Card,1.7,10.7,50%-75%,0,0,0,0,0
35199,17,50%-75%,0,Guadalajara,Clothing,Credit Card,1.4,2.35,min-25%,0,1,0,0,0
35200,18,50%-75%,1,Melbourne,Crypto Exchange,Credit Card,6.9,0.36,min-25%,0,0,0,0,0
35201,5,min-25%,0,Berlin,Gaming,Debit Card,1.1,14.68,50%-75%,0,0,0,1,0
35202,19,75%-max,0,Toronto,Jewelry,Crypto,1.3,7.86,25%-50%,0,1,0,0,0
35203,22,75%-max,1,Delhi,Utilities,Mobile Payment,1.9,3.8,25%-50%,0,0,1,1,0
35204,10,25%-50%,1,Mumbai,Grocery,Bank Transfer,0.1,3.63,25%-50%,0,0,1,0,0
35205,13,50%-75%,0,Munich,Restaurant,Bank Transfer,5.6,3.01,min-25%,0,0,0,0,0
35206,0,,0,Vancouver,Healthcare,Cheque,0.3,24.31,75%-max,0,0,0,1,1
35207,7,25%-50%,0,São Paulo,Clothing,Debit Card,4.8,0.37,min-25%,0,0,1,0,0
35208,2,min-25%,0,London,Jewelry,Debit Card,3.3,14.45,50%-75%,0,0,0,1,0
35209,7,25%-50%,0,São Paulo,Crypto Exchange,Debit Card,0.1,5.83,25%-50%,0,1,0,0,0
35210,5,min-25%,0,London,ATM Withdrawal,Debit Card,1.3,6.91,25%-50%,0,1,0,1,0
35211,9,25%-50%,0,Manchester,Education,Debit Card,2.7,17.58,75%-max,0,0,0,0,0
35212,3,min-25%,0,Guadalajara,Clothing,Credit Card,20.6,11.76,50%-75%,0,0,0,1,0
35213,11,25%-50%,0,Berlin,Online Shopping,Bank Transfer,0.4,2.55,min-25%,0,1,0,0,0
35214,1,min-25%,1,Paris,Jewelry,Credit Card,0.5,30.82,75%-max,2,0,0,1,0
35215,22,75%-max,0,Mexico City,Travel,Credit Card,14.6,1.79,min-25%,2,0,0,1,0
35216,14,50%-75%,1,New York,Electronics,Debit Card,2.2,6.81,25%-50%,1,1,0,0,0
35217,22,75%-max,1,Delhi,Restaurant,Credit Card,0.4,32.55,75%-max,0,0,0,1,1
35218,20,75%-max,0,Los Angeles,Grocery,Credit Card,2.8,1.08,min-25%,0,0,0,0,0
35219,19,75%-max,0,London,Education,Mobile Payment,1.7,8.71,50%-75%,0,0,0,0,0
35220,4,min-25%,0,Paris,Entertainment,Debit Card,3.2,4.47,25%-50%,0,0,0,1,0
35221,15,50%-75%,0,Guadalajara,Restaurant,Credit Card,0.8,19.36,75%-max,1,0,0,0,0
35222,9,25%-50%,0,Mumbai,Grocery,Credit Card,1.7,9.38,50%-75%,0,0,0,0,0
35223,5,min-25%,1,Rio,Jewelry,Credit Card,2.8,6.13,25%-50%,0,0,0,1,0
35224,15,50%-75%,0,Manchester,Entertainment,Credit Card,18.0,5.17,25%-50%,0,0,0,0,0
35225,12,25%-50%,1,Toronto,Clothing,Credit Card,2.7,18.25,75%-max,0,0,0,0,0
35226,13,50%-75%,0,São Paulo,Restaurant,Credit Card,6.1,20.36,75%-max,1,0,0,0,0
35227,7,25%-50%,0,Sydney,Electronics,Cheque,0.5,15.1,50%-75%,0,0,0,0,0
35228,8,25%-50%,0,Vancouver,Electronics,Debit Card,1.3,2.03,min-25%,1,0,0,0,0
35229,23,75%-max,0,Tokyo,Healthcare,Debit Card,0.1,0.71,min-25%,0,0,0,1,0
35230,5,min-25%,0,Rio,Electronics,Mobile Payment,0.9,30.37,75%-max,0,0,0,1,0
35231,12,25%-50%,0,London,Electronics,Credit Card,1.3,2.8,min-25%,0,0,0,0,0
35232,9,25%-50%,0,Munich,Travel,Credit Card,10.3,23.34,75%-max,0,0,0,0,0
35233,19,75%-max,0,Lyon,ATM Withdrawal,Bank Transfer,0.4,5.18,25%-50%,0,0,0,0,0
35234,6,min-25%,0,New York,Electronics,Debit Card,1.7,3.75,25%-50%,0,0,0,1,0
35235,12,25%-50%,0,Paris,Grocery,Debit Card,7.6,7.69,25%-50%,2,0,0,0,0
35236,13,50%-75%,1,Munich,Travel,Debit Card,23.6,12.57,50%-75%,0,0,0,0,0
35237,12,25%-50%,0,London,Online Shopping,Credit Card,20.7,1.0,min-25%,0,0,0,0,0
35238,3,min-25%,0,Los Angeles,ATM Withdrawal,Debit Card,5.3,5.64,25%-50%,0,1,0,1,0
35239,2,min-25%,0,Melbourne,Clothing,Credit Card,5.1,40.45,75%-max,0,0,0,1,0
35240,1,min-25%,1,New York,Healthcare,Debit Card,7.7,24.89,75%-max,2,0,0,1,0
35241,13,50%-75%,0,Osaka,Restaurant,Mobile Payment,12.9,1.5,min-25%,0,0,0,0,0
35242,4,min-25%,0,Los Angeles,Education,Cheque,8.9,5.7,25%-50%,0,0,0,1,0
35243,12,25%-50%,0,Rio,Fuel,Credit Card,8.8,2.34,min-25%,3,0,0,0,1
35244,4,min-25%,1,Mexico City,Healthcare,Mobile Payment,5.1,12.01,50%-75%,0,0,0,1,0
35245,8,25%-50%,0,Munich,Crypto Exchange,Mobile Payment,3.4,0.9,min-25%,0,1,0,0,0
35246,14,50%-75%,0,Guadalajara,Grocery,Bank Transfer,3.5,17.91,75%-max,0,0,0,0,0
35247,10,25%-50%,0,Rio,Entertainment,Credit Card,6.4,50.49,75%-max,0,0,0,0,0
35248,23,75%-max,1,London,Utilities,Cheque,12.8,8.77,50%-75%,1,0,0,1,0
35249,16,50%-75%,0,Paris,Restaurant,Credit Card,1.5,15.6,50%-75%,0,1,0,0,0
35250,19,75%-max,0,London,Utilities,Credit Card,4.1,8.65,50%-75%,0,0,0,0,0
35251,23,75%-max,0,Munich,Entertainment,Bank Transfer,2.1,3.54,25%-50%,1,0,0,1,0
35252,21,75%-max,1,Lyon,Education,Bank Transfer,1.7,4.39,25%-50%,0,0,0,0,0
35253,9,25%-50%,0,Lyon,Electronics,Debit Card,4.2,5.34,25%-50%,0,0,0,0,0
35254,13,50%-75%,1,Berlin,Online Shopping,Credit Card,14.1,5.53,25%-50%,0,1,0,0,1
35255,19,75%-max,0,São Paulo,Online Shopping,Credit Card,1.4,25.22,75%-max,0,0,0,0,0
35256,14,50%-75%,0,Los Angeles,Gaming,Credit Card,5.1,13.46,50%-75%,0,0,0,0,0
35257,14,50%-75%,1,Berlin,Restaurant,Bank Transfer,0.6,9.58,50%-75%,0,0,0,0,0
35258,0,,0,Mumbai,Restaurant,Bank Transfer,4.7,1.75,min-25%,3,0,0,1,0
35259,12,25%-50%,0,Los Angeles,Entertainment,Credit Card,1.8,2.4,min-25%,0,1,0,0,0
35260,7,25%-50%,0,Rio,Crypto Exchange,Credit Card,1.8,0.66,min-25%,1,0,0,0,0
35261,4,min-25%,0,New York,Crypto Exchange,Mobile Payment,4.7,4.54,25%-50%,0,1,0,1,0
35262,5,min-25%,0,Rio,Fuel,Mobile Payment,3.7,7.01,25%-50%,1,0,0,1,0
35263,7,25%-50%,0,New York,Healthcare,Debit Card,5.2,10.76,50%-75%,0,0,0,0,0
35264,1,min-25%,0,Munich,Utilities,Crypto,0.8,2.49,min-25%,0,0,0,1,0
35265,0,,0,Lyon,Gaming,Debit Card,15.0,3.3,min-25%,0,0,0,1,0
35266,14,50%-75%,0,Osaka,Electronics,Debit Card,5.1,10.62,50%-75%,0,0,1,0,0
35267,16,50%-75%,0,London,Grocery,Credit Card,2.0,16.44,50%-75%,0,0,0,0,0
35268,20,75%-max,1,Tokyo,Healthcare,Debit Card,3.1,1.02,min-25%,0,0,0,0,0
35269,11,25%-50%,0,Osaka,Restaurant,Credit Card,1.6,18.45,75%-max,0,0,0,0,0
35270,17,50%-75%,0,Munich,Healthcare,Credit Card,2.1,10.47,50%-75%,0,0,0,0,0
35271,0,,1,Tokyo,Education,Mobile Payment,3.0,27.8,75%-max,0,1,0,1,0
